login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
IDouble,IDouble/Binary-Calculator-Android-Java-App,2018-10-10T07:36:38Z,30,30,Java,True,True,mit
IDouble,IDouble/Binary-Calculator-JavaScript,2018-06-24T09:30:35Z,90,90,JavaScript,True,True,mit
IDouble,IDouble/Blazor-Razor-Playground-C-Sharp,2019-08-22T04:19:05Z,26,26,HTML,True,True,mit
IDouble,IDouble/BMI-Calculator-Android-Java-App,2018-10-17T06:00:02Z,27,27,Java,True,True,mit
IDouble,IDouble/BMI-Calculator-JavaScript,2018-10-15T02:35:49Z,35,35,JavaScript,True,True,mit
IDouble,IDouble/Brainfuck-Code-Samples,2018-09-15T22:41:34Z,14,14,Brainfuck,True,True,mit
IDouble,IDouble/Brainfuck-Interpreter-Node.js,2017-09-02T16:21:57Z,15,15,JavaScript,True,True,mit
IDouble,IDouble/btcrelay,2018-09-23T11:32:15Z,11,11,Python,True,True,mit
IDouble,IDouble/Cat-Face-Detector-with-OpenCV-and-JavaFX,2017-10-11T14:17:42Z,34,34,Java,True,True,mit
IDouble,IDouble/ChatGPT-Simple-Tutorial-Image-Text-Code-Generation,2023-02-24T08:02:21Z,87,87,Python,True,True,mit
IDouble,IDouble/Customizable-Crypto-Currency-Dashboard-with-Chart,2019-06-15T09:25:48Z,210,210,HTML,True,True,mit
IDouble,IDouble/dapp-styles,2018-09-23T11:48:37Z,10,10,HTML,True,True,
IDouble,IDouble/dcs,2018-09-23T12:52:54Z,9,9,Go,True,False,other
IDouble,IDouble/Decentralized-World-Wide-Web-ERC-721,2018-02-17T09:08:28Z,33,33,Solidity,True,True,mit
IDouble,IDouble/Deep-Learning-Machine-Learning-AI-TensorFlow-Python,2018-11-28T14:09:26Z,37,37,Python,True,True,mit
IDouble,IDouble/devp2p,2018-09-23T11:41:53Z,10,10,,True,True,
IDouble,IDouble/Ethereum-Solidity-inline-Assembly,2019-10-18T21:36:58Z,28,28,Solidity,True,True,mit
IDouble,IDouble/Forex-USD-Currency-Market-Chart,2022-04-26T16:10:59Z,52,52,HTML,True,True,mit
